"","CountryCode","Population, total","Population ages 15-64, total","Population ages 15-64 (% of total population)","Population ages 15-64, male","Population ages 15-64, female","Urban population","Urban population (% of total population)","Urban land area (sq. km)","Adjusted net national income per capita (constant 2010 US$)","GDP per capita (constant 2010 US$)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Gross enrolment ratio, lower secondary, both sexes (%)","Access to electricity (% of population)","Access to electricity, urban (% of urban population)","Public private partnerships investment in ICT (current US$)","Investment in ICT with private participation (current US$)","Mobile cellular subscriptions (per 100 people)","Individuals using the Internet (% of population)","Fixed broadband subscriptions (per 100 people)","Researchers in R&D (per million people)","Research and development expenditure (% of GDP)","CO2 emissions (metric tons per capita)","CO2 emissions from transport (% of total fuel combustion)","Railways, passengers carried (million passenger-km)","Rail lines (total route-km)","Accidents involving casualities (nbr)","Road accidents deaths (nbr)","Road accidents deaths (per 1MM habitants)","Road accidents deaths (per 1MM vehicles)","Road accidents injury (nbr)","Passenger transport by rail (MM pkm)","Passenger transport by road (MM pkm)","Passenger transport by inland (MM pkm)","Infrastructure investment rail (eur)","Infrastructure investment road (eur)","Infrastructure investment inland total (percentage GDp)","Infrastructure investment sea (eur)","Infrastructure investment air (eur)","Infrastructure investment inland waterways (eur)","Infrastructure maintenance rail (eur)","Infrastructure maintenance road (eur)","Infrastructure maintenance air (eur)","Infrastructure maintenance sea (eur)","Infrastructure maintenance inland waterways (eur)","Number of registered passenger cars (in thousand)","Number of taxis or taxicabs (in thousand)","Total number of registered motorcycles (in thousand)","Number of public buses (in thousand)","Number of traffic accident casualties (injuries) by road","Total number of registered buses (in thousand)","Total number of registered road motor vehicles (in thousand)","Vehicles in Use","Registrations or Sales of New Vehicles","the total length of the road network and includes the length of the paved and unpaved portions (km)","Number of Charging Station","Number of Car Sharing","Number of Public Transport Node","Google Trends for Grab","Google Trends for Google Maps","Country","Group"
"1","BRN","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","Brunei Darussalam",1
"2","KHM","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","X","O","X","O","O","O","X","O","O","O","X","O","O","O","Cambodia",1
"3","IDN","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","Indonesia",1
"4","LAO","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","O","O","O","O","X","O","O","X","X","O","O","O","Lao PDR",1
"5","MYS","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","Malaysia",1
"6","MMR","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","O","O","O","O","X","O","O","O","O","O","O","O","Myanmar",1
"7","PHL","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","Philippines",1
"8","SGP","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","Singapore",1
"9","THA","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","Thailand",1
"10","VNM","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","Vietnam",1
"11","CHN","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","X","O","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","China",2
"12","JPN","O","O","O","O","O","O","O","O","O","O","O","X","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Japan",2
"13","KOR","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Korea, Rep.",2
"14","CAN","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Canada",3
"15","USA","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","X","X","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","United States",3
"16","AUT","O","O","O","O","O","O","O","X","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","X","O","O","O","O","X","X","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Austria",4
"17","BEL","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Belgium",4
"18","BGR","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Bulgaria",4
"19","HRV","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Croatia",4
"20","CYP","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Cyprus",4
"21","CZE","O","O","O","O","O","O","O","X","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","X","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Czech Republic",4
"22","DNK","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Denmark",4
"23","EST","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Estonia",4
"24","FIN","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Finland",4
"25","FRA","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","France",4
"26","DEU","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Germany",4
"27","GRC","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Greece",4
"28","HUN","O","O","O","O","O","O","O","X","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","X","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Hungary",4
"29","IRL","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","X","O","O","O","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Ireland",4
"30","ITA","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Italy",4
"31","LVA","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","X","O","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Latvia",4
"32","LTU","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Lithuania",4
"33","LUX","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","X","O","O","O","O","O","X","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Luxembourg",4
"34","MLT","O","O","O","O","O","O","O","O","X","O","O","O","O","O","X","X","O","O","O","O","O","O","O","X","X","O","O","O","O","O","X","O","O","X","O","O","O","X","X","X","O","X","O","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Malta",4
"35","NLD","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","X","X","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Netherlands",4
"36","POL","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Poland",4
"37","PRT","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Portugal",4
"38","ROU","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","X","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Romania",4
"39","SVK","O","O","O","O","O","O","O","X","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","X","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Slovak Republic",4
"40","SVN","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","X","O","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Slovenia",4
"41","ESP","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Spain",4
"42","SWE","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Sweden",4
"43","GBR","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","United Kingdom",4
"44","ARG","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Argentina",5
"45","AUS","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Australia",5
"46","BRA","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Brazil",5
"47","IND","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","O","O","O","O","X","O","O","O","O","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","India",5
"48","MEX","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Mexico",5
"49","NZL","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","X","X","O","O","O","O","O","X","O","O","O","O","O","O","O","X","O","O","O","O","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","New Zealand",5
"50","RUS","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Russian Federation",5
"51","SAU","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","X","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Saudi Arabia",5
"52","ZAF","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","South Africa",5
"53","TUR","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Turkey",5
